timestamp	 pos_x 	 pos_y 	 pos_z 	 orientation_w 	 orientation_x 	 orientation_y 	 orientation_z 
1626516191807942656	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191812443136	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191817843712	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191822344192	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191826844672	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191832245248	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191836745728	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191841246208	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191846646784	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191851147264	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191855647744	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191860148224	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191864648704	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191870049280	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191874549760	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191879050240	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191883550720	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191888951296	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191893451776	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191897952256	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191903352832	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191907853312	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191912353792	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191916854272	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191921354752	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191925855232	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191931255808	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191935756288	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191940256768	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191944757248	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191949257728	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191954658304	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191959158784	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191963659264	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191968159744	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191973560320	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191978060800	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191982561280	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191987061760	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191992462336	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516191996962816	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516192001463296	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516192005963776	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516192011364352	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516192015864832	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516192020365312	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516192025765888	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516192030266368	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516192034766848	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516192039267328	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516192043767808	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
1626516192048268288	0.0	0.0	1.1812834739685059	0.7071061134338379	0.0	0.0	-0.7071074843406677
